Draft Year,Pick Number,NBA Team,Name,Age,College,Height,Weight,Dominant Hand,NBA Relatives,Seasons Played (College),POS,MPG,PPG,RPG,APG,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,11,NOH,Cole Aldrich,,Kansas,6-11,245,Right,0,3,C,26.8,11.3,9.8,0.9,36,26.8,4.1,7.4,.562,0.0,0.0,,3.0,4.4,.679,3.1,9.8,0.9,0.8,3.5,1.6,2.6,11.3
2010,12,MEM,Xavier Henry,,Kansas,6-6,220,Left,1,1,G,27.5,13.4,4.4,1.5,36,27.5,4.5,9.8,.458,1.9,4.6,.418,2.5,3.2,.783,1.2,4.4,1.5,1.5,0.5,1.9,1.8,13.4
2010,13,TOR,Ed Davis,,UNC,6-10,225,Left,1,2,F,27.9,13.4,9.6,1.0,23,27.9,4.8,8.3,.578,0.0,0.0,,3.8,5.7,.659,2.9,9.6,1.0,0.4,2.8,2.0,1.8,13.4
2010,14,HOU,Patrick Patterson,,Kentucky,6-9,235,Right,0,3,F,33.0,14.3,7.4,0.9,38,33.0,5.7,9.8,.575,0.6,1.8,.348,2.4,3.4,.692,3.1,7.4,0.9,0.7,1.3,1.1,1.6,14.3
2010,15,MIL,Larry Sanders,,VCU,6-10,235,Right,0,3,F,26.9,14.4,9.1,1.0,35,26.9,5.6,10.5,.534,0.1,0.5,.250,3.1,4.8,.641,3.0,9.1,1.0,0.7,2.6,1.7,2.9,14.4
2010,16,MIN,Luke Babbitt,,Nevada,6-9,225,Left,0,2,F,37.1,21.9,8.9,2.1,34,37.1,7.4,14.8,.500,1.2,3.0,.416,5.9,6.4,.917,2.1,8.9,2.1,1.0,0.8,2.4,2.6,21.9
2010,18,OKC,Eric Bledsoe,,Kentucky,6-1,190,Right,0,1,G,30.3,11.3,3.1,2.9,37,30.3,3.9,8.4,.462,1.3,3.5,.383,2.2,3.3,.667,0.5,3.1,2.9,1.4,0.3,3.0,2.2,11.3
2010,19,BOS,Avery Bradley,,Texas,6-2,180,Right,0,1,G,29.5,11.6,2.9,2.1,34,29.5,4.7,10.8,.432,1.2,3.3,.375,1.1,1.9,.545,1.0,2.9,2.1,1.3,0.5,1.5,2.4,11.6
2010,20,SAS,James Anderson,,Oklahoma State,6-6,210,Right,0,3,G,34.1,22.3,5.8,2.4,33,34.1,6.8,15.0,.457,2.2,6.6,.341,6.3,7.8,.810,1.9,5.8,2.4,1.4,0.6,2.4,2.7,22.3
2010,21,OKC,Craig Brackins,,Iowa State,6-10,230,Right,0,3,F,35.1,16.5,8.5,2.2,32,35.1,6.0,14.3,.420,0.8,2.7,.310,3.7,4.8,.760,2.1,8.5,2.2,0.8,1.2,2.1,2.0,16.5
2010,22,POR,Elliot Williams,,Memphis,6-4,180,Left,0,2,G,33.3,17.9,4.0,3.8,34,33.3,5.2,11.4,.459,1.8,4.8,.366,5.7,7.5,.758,0.7,4.0,3.8,1.3,0.1,2.9,2.0,17.9
2010,23,MIN,Trevor Booker,,Clemson,6-7,240,Left,2,4,F,30.8,15.2,8.4,2.5,32,30.8,5.9,11.3,.521,0.3,1.1,.265,3.2,5.3,.591,2.8,8.4,2.5,1.3,1.4,1.9,2.0,15.2
2010,24,ATL,Damion James,,Texas,6-7,225,Right,0,4,F,30.3,18.0,10.3,1.0,34,30.3,6.2,12.3,.501,1.1,2.8,.383,4.6,6.8,.674,3.1,10.3,1.0,1.7,1.2,2.0,2.9,18.0
2010,25,MEM,Dominique Jones,,South Florida,6-4,205,Right,0,3,G,37.1,21.4,6.1,3.6,33,37.1,6.7,14.9,.450,1.6,5.1,.311,6.3,8.5,.741,1.1,6.1,3.6,1.7,0.6,2.9,2.8,21.4
2010,26,OKC,Quincy Pondexter,,Washington,6-7,215,Right,2,4,F,32.3,19.3,7.4,1.8,36,32.3,6.8,12.9,.528,0.5,1.4,.353,5.2,6.3,.827,3.0,7.4,1.8,1.3,0.6,1.9,2.5,19.3
2010,27,NJN,Jordan Crawford,,Xavier,6-4,195,Right,1,3,G,32.8,20.5,4.7,2.9,35,32.8,7.4,16.1,.462,2.3,5.8,.391,3.4,4.4,.773,1.0,4.7,2.9,1.3,0.2,2.4,1.6,20.5
2010,28,MEM,Greivis VÃ¡squez,,Maryland,6-6,200,Right,0,4,G,33.9,19.6,4.6,6.3,33,33.9,6.7,15.5,.429,2.1,5.8,.359,4.2,4.9,.857,1.2,4.6,6.3,1.7,0.4,3.4,2.1,19.6
2010,29,ORL,Daniel Orton,,Kentucky,6-11,255,Right,0,1,F,13.2,3.4,3.3,0.4,38,13.2,1.3,2.4,.527,0.0,0.1,.000,0.9,1.7,.524,1.2,3.3,0.4,0.6,1.4,1.0,2.3,3.4
2010,30,WAS,Lazar Hayward,,Marquette,6-6,225,Right,0,4,F,32.3,18.1,7.5,1.5,34,32.3,6.5,15.1,.432,1.9,5.5,.349,3.1,3.7,.843,2.1,7.5,1.5,1.9,0.5,2.0,3.4,18.1
2010,32,MIA,Dexter Pittman,,Texas,6-10,290,Right,0,4,C,19.1,10.4,5.9,0.5,34,19.1,4.1,6.3,.654,0.0,0.0,,2.2,4.0,.556,3.0,5.9,0.5,0.4,1.9,1.8,2.6,10.4
2010,33,SAC,Hassan Whiteside,,Marshall,7-0,235,Right,0,1,C,26.1,13.1,8.9,0.3,34,26.1,4.9,9.4,.524,0.1,0.1,.600,3.2,5.5,.588,2.7,8.9,0.3,0.6,5.4,1.9,2.4,13.1
2010,34,POR,Armon Johnson,,Nevada,6-3,195,Left,0,3,G,34.5,15.7,3.4,5.6,34,34.5,6.4,13.0,.495,0.5,2.1,.239,2.4,3.5,.678,0.8,3.4,5.6,0.8,0.4,3.4,1.8,15.7
2010,36,DET,Terrico White,,Ole Miss,6-5,213,,0,2,G,31.5,15.1,4.6,1.5,35,31.5,5.5,12.8,.430,1.7,5.1,.341,2.4,3.4,.714,1.6,4.6,1.5,0.9,0.2,1.3,1.8,15.1
2010,37,MIL,Darington Hobson,,New Mexico,6-7,205,Left,0,1,F,33.6,15.9,9.3,4.6,35,33.6,5.5,12.5,.440,1.1,3.1,.361,3.7,5.7,.653,2.1,9.3,4.6,1.3,0.4,3.0,1.9,15.9
2010,38,NYK,Andy Rautins,,Syracuse,6-5,195,Right,1,5,G,32.5,12.1,3.4,4.9,35,32.5,3.7,8.5,.438,2.8,6.9,.407,1.9,2.3,.815,0.5,3.4,4.9,2.0,0.2,2.8,2.2,12.1
